Iter 	incumb_est 	candid_est 	error
128 	-100362.812462 	-100677.284087 	-0.003133
129 	-100970.391623 	-100970.391589 	0.000000
130 	-100788.497657 	-101233.846957 	-0.004419
131 	-101462.209398 	-101498.175660 	-0.000354
132 	-101773.966085 	-101773.965947 	0.000000
133 	-102045.609285 	-102045.609266 	0.000000
134 	-102313.198110 	-102313.198078 	0.000000
135 	-102549.437722 	-102569.457917 	-0.000195
136 	-102829.472789 	-102829.472815 	-0.000000
137 	-103085.691848 	-103085.691707 	0.000000
138 	-103108.692626 	-103281.409696 	-0.001675
139 	-102884.786584 	-103290.980414 	-0.003948
140 	-102355.623608 	-102984.667024 	-0.006146
141 	-102171.344224 	-102713.964094 	-0.005311
142 	-102423.176171 	-102484.401808 	-0.000598
143 	-102229.955768 	-102526.352691 	-0.002899
144 	-101714.120369 	-102290.513847 	-0.005667
145 	-101545.644708 	-102072.994971 	-0.005193
146 	-101011.103122 	-101341.542424 	-0.003271
147 	-100853.567435 	-101172.500421 	-0.003162
148 	-100327.086341 	-100650.737511 	-0.003226
149 	-100180.069418 	-100496.020614 	-0.003154
150 	-100431.113893 	-100485.279726 	-0.000539
151 	-100261.548842 	-100539.113363 	-0.002768
152 	-100509.377340 	-100536.304464 	-0.000268
153 	-100753.966251 	-100782.830991 	-0.000286
154 	-101027.261311 	-101027.261256 	0.000000
155 	-100875.478264 	-101248.261234 	-0.003695
156 	-101096.623245 	-101248.737392 	-0.001505
157 	-100318.620016 	-100702.655323 	-0.003828
158 	-100561.428915 	-100590.150442 	-0.000286
159 	-99713.496896 	-100226.463831 	-0.005144
160 	-99956.835451 	-100355.813983 	-0.003992
161 	-99818.094681 	-100293.885763 	-0.004767
162 	-100057.783391 	-100289.882292 	-0.002320
163 	-100520.810250 	-100636.060683 	-0.001147
164 	-100864.655080 	-100864.655161 	-0.000000
165 	-101090.478716 	-101090.478670 	0.000000
166 	-101313.581504 	-101313.581576 	-0.000000
167 	-101503.113335 	-101523.540005 	-0.000201
168 	-101741.305618 	-101741.305779 	-0.000000
169 	-101956.494283 	-101956.494037 	0.000000
170 	-101977.771403 	-102103.854909 	-0.001236
171 	-102313.780038 	-102313.780177 	-0.000000
172 	-102126.616576 	-102412.194985 	-0.002796
173 	-102430.028929 	-102557.248587 	-0.001242
174 	-102762.642730 	-102762.642759 	-0.000000
175 	-102538.955868 	-102811.397527 	-0.002657
176 	-102325.006161 	-102723.689257 	-0.003896
177 	-101948.586548 	-102366.828903 	-0.004102
178 	-101903.808170 	-102278.321316 	-0.003675
179 	-102017.993874 	-102073.022236 	-0.000539
180 	-102274.040096 	-102274.040259 	-0.000000
181 	-102472.836926 	-102472.836951 	-0.000000
182 	-102492.320118 	-102606.147811 	-0.001111
183 	-102207.312642 	-102573.783697 	-0.003586
184 	-102403.230708 	-102503.488203 	-0.000979
185 	-102427.334623 	-102557.958274 	-0.001275
186 	-101993.052491 	-102680.944443 	-0.006744
187 	-102186.973263 	-102549.216983 	-0.003545
188 	-102059.262567 	-102247.326009 	-0.001843
189 	-102250.780950 	-102340.836421 	-0.000881
190 	-102528.256553 	-102548.039687 	-0.000193
191 	-102549.411977 	-102697.223711 	-0.001441
192 	-102732.392124 	-102790.093717 	-0.000562
193 	-102972.824557 	-102972.824627 	-0.000000
